                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8179,                 4.0954,                 1.4427,                0.61615,                0.46119,                0.49296,                0.23134,                 1.9121,                 3.5175,                 1.7354,              0.0006626,              0.0006626,              0.0006626
                      2,                 1.8659,                 2.4259,                 1.5458,                0.54707,                0.53653,                0.54833,                0.24566,                 1.8181,                 8.3287,                 1.7919,              0.0013161,              0.0013161,              0.0013161
                      3,                 1.8256,                 1.8429,                 1.5408,                0.62238,                0.59454,                0.61037,                0.29026,                 1.8362,                 1.7142,                 1.6767,              0.0019564,              0.0019564,              0.0019564
                      4,                 1.8491,                 1.6591,                 1.5386,                0.75758,                0.68721,                0.73925,                0.39138,                 1.6794,                 1.5005,                 1.5979,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.7542,                 1.4817,                 1.5062,                 0.7863,                0.68037,                 0.7579,                0.40491,                 1.7025,                 1.5974,                 1.5683,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.7738,                 1.4287,                 1.4915,                0.69796,                 0.6753,                0.68341,                0.32209,                 1.7511,                 1.5437,                 1.5538,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.7098,                 1.3273,                 1.4617,                0.74023,                0.64155,                0.71327,                0.37802,                 1.6294,                  1.713,                 1.5404,               0.001901,               0.001901,               0.001901
                      8,                  1.737,                 1.3698,                   1.47,                0.59096,                0.51127,                0.64971,                0.34385,                 1.6912,                 1.8412,                 1.5208,              0.0018812,              0.0018812,              0.0018812
                      9,                  1.685,                 1.3133,                 1.4355,                0.80665,                0.73744,                0.81894,                0.43817,                 1.6727,                 1.2143,                 1.5313,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.6557,                 1.2561,                 1.4306,                0.83599,                0.75643,                0.84558,                0.45641,                 1.6264,                 1.1768,                 1.4982,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.5799,                 1.1762,                 1.3794,                0.84986,                0.78767,                0.85734,                0.46234,                 1.6043,                 1.2787,                 1.4812,              0.0018218,              0.0018218,              0.0018218
